Name of business,Address,Postcode,Notes,Website,Twitter,Facebook,YouTube,Photo,Type of business,Key
AMT,Wesgate Centre/Queen Street,OX1 1PD,,,,,,,Catering/Coffee Shop,coffee-generic;tea-generic;cakes-generic
Millies Cookies,Westgate Centre,OX1 1NZ,,,,,,,Catering/Coffee Shop,coffee-generic;sugar-generic;cocoa-generic
Mortons,Covered Market,,,,,,,,Catering/Cafe,coffee-generic;tea-generic;chocolate-generic;sugar-generic
Alpha Bar,Covered Market,OX1 3EE,,http://www.alpha-bar.co.uk/,,,,,Catering/Cafe,coffee-generic;chocolate-generic
Greens Cafe,St Giles,OX1 3LU ,,http://www.greenscafe.co.uk/,,,,,Catering/Cafe,tea-generic;juice_&_soft_drinks-generic
Mortons,39 Little Clarendon St,OX12HF,,,,,,,Catering/Cafe,coffee-generic;sugar-generic
Mortons,,,,,,,,,Catering/Cafe,coffee-generic;sugar-generic
Mortons,,,,,,,,,Catering/Cafe,coffee-generic;sugar-generic
Fasta Pasta,,,,,,,,,Catering/Restaurant,ice_cream-generic;cocoa-generic
George and Davis,55 Little Clarendon St,OX1 2HS,,,,,,,Catering/Cafe,coffee-generic;tea-generic;cocoa-generic
Cornish pasty company,Cornmarket Street,,,,,,,,Catering/Cafe,coffee-generic;juice_&_soft_drinks-generic
Pret A Manger,26-27 Cornmarket Street,OX1 3EY,,,,,,,Catering/Cafe,
Millies Cookies,Clarendon Centre,OX1 3HJ,,,,,,,Catering/Coffee Shop,coffee-generic;sugar-generic;cocoa-generic
George and Delilah,94 St Aldates,OX1 1,,,,,,,Catering/Restaurant,coffee-generic;tea-generic;ice_cream-generic
Cafe Loco,85 St Aldate's,OX1 1,,http://www.goingloco.com/,,,,,Catering/Cafe,tea-generic;sweets-generic
Starbucks,27 High St,OX1 4DF,,,,,,,Catering/Coffee Shop,
Far from the Madding Crowd,10-12 Friars Entry,,,,,,,,Retail/Pub,coffee-generic;wine-generic
Starbucks,240 Banbury Road ,OX2 7,,,,,,,Catering/Cafe,coffee-generic;chocolate-generic
Hacketts,270 Banbury Road ,OX2 7,,,,,,,Catering/Cafe,tea-generic;chocolate-generic
M&S,242 Banbury Road ,OX2 7,,,,,,,Catering/Cafe,coffee-generic;tea-generic;cocoa-generic
First Floor,158 Cowley Road,OX4 1UE,,,,,,,Catering/Restaurant,coffee-generic;cocoa-generic
Restore,Manzil Way,,,,,,,,Catering/Cafe,coffee-generic;cocoa-generic;tea-generic
Cous Cous ,19-20,,,,,,,,Catering/Cafe,coffee-generic;cocoa-generic
George and Danver's,104 Cowley Road,OX4 1,,,,,,,Catering/Cafe,coffee-generic;tea-generic;ice_cream-generic
Starbucks,240 Banbury Rd,OX2 7BY,,,,,,,Catering/Coffee Shop,
Magic Cafe,Magdalen Road,OX4 1RQ,,,,,,,Catering/Cafe,
Pegasus Theatre Cafe,Magdalen Road,OX4 1RE,,,,,,,Catering/Cafe,coffee-generic;juice_&_soft_drinks-generic;juice_&_soft_drinks-generic
Starbucks,71 London Road,OX3 9AA,,,,,,,Catering/Coffee Shop,
La Croissanterie,3-5 Old High Street,OX3 9,,,,,,,Catering/Cafe,
Mojo,123 London Road,OX3 9,,,,,,,Catering/Cafe,
AMT,Oxford Station,OX1 1HS,,,,,,,Catering/Coffee Shop,
Cornish pasty company,Oxford Station,,,,,,,,Catering/Kiosk,coffee-generic;juice_&_soft_drinks-generic
Vita Burst,Oxford Station,,,,,,,,Catering/Kiosk,juice_&_soft_drinks-generic;coffee-generic
